cardname,cardq,cardrarity,cardcondition,card_edition,cardset,cardcode,cardid 
"Destiny HERO - Blade Master",12,"Common",M,Unlimited,"Power of the Duelist",POTD-EN015,55461064 
"Destiny HERO - Captain Tenacious",11,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN002,77608643 
"Destiny HERO - Dasher",5,"Rare",M,1st Edition,"Power of the Duelist",POTD-EN017,81866673 
"Destiny HERO - Defender",6,"Common",M,Unlimited,"Power of the Duelist",POTD-EN013,54749427 
"Destiny HERO - Departed",2,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN015,39829561 
"Destiny HERO - Diamond Dude",4,"Rare",M,Unlimited,"Enemy of Justice",EOJ-EN003,13093792 
"Destiny HERO - Dogma",1,"Rare",M,1st Edition,"Duelist Pack 5: Aster Phoenix",DP05-EN007,17132130 
"Destiny HERO - Doom Lord",6,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN001,41613948 
"Destiny HERO - Double Dude",1,"Rare",M,Unlimited,"Duelist Pack 5: Aster Phoenix",DP05-EN005,28355718 
"Destiny HERO - Dread Servant",2,"Common",M,1st Edition,"Light of Destruction",LODT-EN004,36625827 
"Destiny HERO - Dreadmaster",3,"Rare",M,Unlimited,"Duelist Pack 5: Aster Phoenix",DP05-EN004,40591390 
"Destiny HERO - Dunker",3,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN014,93431862 
"Destiny HERO - Fear Monger",9,"Common",M,1st Edition,"Power of the Duelist",POTD-EN016,80744121 
"Destiny HERO - Malicious",1,"Ultra Rare",M,Unlimited,"Duelist Pack 5: Aster Phoenix",DP05-EN011,9411399 
"Destiny Mirage",7,"Common",M,Unlimited,"Power of the Duelist",POTD-EN049,15294090 
"Destiny Signal",10,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN052,35464895 
"Destroyer Golem",4,"Common",M,Unlimited,"Metal Raiders",MRD-040,73481154 
"Destruction Cyclone",6,"Common",M,Unlimited,"Strike of Neos",STON-EN028,59235795 
"Destruction of Destiny",4,"Rare",M,1st Edition,"Enemy of Justice",EOJ-EN051,62980542 
"Destruction Punch",6,"Rare",M,Unlimited,"Labyrinth of Nightmare",LON-085,5616412 
"Destruction Ring",3,"Rare",M,Unlimited,"Invasion of Chaos",IOC-101,21219755 
"Destructive Draw",2,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN073,77859858 
"Destructotron",3,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN023,11232355 
"Detonator Circle "A"",5,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN077,20985997 
"Dharc the Dark Charmer",7,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN026,19327348 
"Diamond-Dust Cyclone",2,"Rare",M,Unlimited,"Gladiator's Assault",GLAS-EN048,19980975 
"Dice Jar",7,"Common",M,Unlimited,"Pharaonic Guardian",PGD-027,3549275 
"Dice Re-Roll",4,"Common",M,Unlimited,"Dark Crisis",DCR-100,83241722 
"Dice Try!",3,"Common",M,Unlimited,"Light of Destruction",LODT-EN080,59905358 
"Different Dimension Capsule",4,"Common",M,Unlimited,"Pharaonic Guardian",PGD-083,11961740 
"Different Dimension Gate",2,"Rare",M,Unlimited,"Dark Crisis",DCR-044,56460688 
"Diffusion Wave-Motion",1,"Secret Rare",M,Unlimited,"Magician's Force",MFC-107,87880531 
"Dimension Distortion",4,"Common",M,Unlimited,"Invasion of Chaos",IOC-044,95194279 
"Dimension Explosion",6,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN051,1896112 
"Dimension Jar",5,"Common",M,Unlimited,"Magician's Force",MFC-023,73414375 
"Dimension Wall",7,"Rare",M,1st Edition,"Cybernetic Revolution",CRV-EN059,67095270 
"Dimensional Fissure",10,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN047,81674782 
"Dimensional Inversion",1,"Rare",M,Unlimited,"Cyberdark Impact",CDIP-EN052,98666339 
"Dimensionhole",3,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-069,22959079 
"Disappear",4,"Common",M,Unlimited,"Legacy of Darkness",LOD-089,24623598 
"Disarm",7,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN071,26834022 
"Disarmament",1,"Common",M,Unlimited,"Dark Revelation Volume 1",DR1-EN157,20727787 
"Disc Fighter",2,"Common",M,1st Edition,"Ancient Sanctuary",AST-028,19612721 
"Disciple of the Forbidden Spell",8,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN016,15595052 
"Disk Magician",2,"Common",M,Unlimited,"Metal Raiders",MRD-053,76446915 
"Diskblade Rider",2,"Rare",M,Unlimited,"Light of Destruction",LODT-EN035,41113025 
"Dissolverock",3,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-031,40826495 
"Disturbance Strategy",1,"Common",M,Unlimited,"Pharaonic Guardian",PGD-098,77561728 
"Divine Dragon - Excelion",3,"Ultimate Rare",M,Unlimited,"Shadow of Infinity",SOI-EN033,10032958 
"Divine Dragon Ragnarok",6,"Common",M,Unlimited,"Flaming Eternity",FET-EN002,62113340 
"Divine Knight Ishzark",1,"Super Rare",M,Unlimited,"Light of Destruction",LODT-EN091,57902462 
"Divine Wrath",1,"Super Rare",M,Unlimited,"Rise of Destiny",RDS-EN050,49010598 
"DNA Checkup",4,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN078,27340877 
"DNA Surgery",7,"Common",M,1st Edition,"Pharaoh's Servant",PSV-026,74701381 
"DNA Transplant",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-108,56769674 
"Doctor Cranium",4,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN017,22171591 
"Doitsu",22,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN025,57062206 
"Dokuroyaiba",4,"Common",M,Unlimited,"Pharaoh's Servant",PSV-099,30325729 
"Doma The Angel of Silence",4,"Common",M,Unlimited,"Metal Raiders",MRD-015,16972957 
"Domino Effect",4,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN046,32663969 
"Don Turtle",4,"Common",M,Unlimited,"Invasion of Chaos",IOC-071,3493978 
"Don Zaloog",1,"Gold Rare",M,Limited,"Gold Series 2008",GLD1-EN012,76922029 
"Doom Dozer",7,"Rare",M,Unlimited,"Shadow of Infinity",SOI-EN024,76039636 
"Doppelganger",3,"Common",M,Unlimited,"Crossroads of Chaos",CSOC-EN070,66395299 
"Dora of Fate",6,"Common",M,Unlimited,"Ancient Sanctuary",AST-102,67464807 
"Doriado's Blessing",4,"Common",M,Unlimited,"The Lost Millennium",TLM-EN043,23965037 
"Double Attack",8,"Common",M,Unlimited,"The Lost Millennium",TLM-EN040,34187685 
"Double Coston",2,"Rare",M,Unlimited,"Ancient Sanctuary",AST-078,44436472 
"Double Snare",7,"Common",M,Unlimited,"Legacy of Darkness",LOD-015,3682106 
"Double Spell",1,"Ultra Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN161,24096228 
"Double Summon",2,"Rare",M,Unlimited,"Tactical Evolution",TAEV-EN056,43422537 
"Double Tag Team",3,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN076,67223587 
"Double-Edged Sword Technique",1,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN074,21007444 
"Dragged Down into the Grave",5,"Common",M,Unlimited,"Dark Crisis",DCR-084,16435215 
"Dragon Capture Jar",1,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN111,50045299 
"Dragon Manipulator",3,"Common",M,1st Edition,"Legacy of Darkness",LOD-026,63018132 
"Dragon Piper",6,"Common",M,Unlimited,"Metal Raiders",MRD-067,55763552 
"Dragon Seeker",2,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN101,28563545 
"Dragon Treasure",3,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-092,1435851 
"Dragon's Gunfire",9,"Common",M,Unlimited,"Legacy of Darkness",LOD-045,55991637 
"Dragon's Mirror",13,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN040,71490127 
"Dragon's Rage",2,"Common",M,Unlimited,"Legacy of Darkness",LOD-048,54178050 
"Dragoness the Wicked Knight",3,"Rare",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-086,70681994 
"Dragonic Attack",4,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-101,32437102 
"Draining Shield",6,"Rare",M,Unlimited,"Ancient Sanctuary",AST-054,43250041 
"Dramatic Rescue",3,"Rare",M,Unlimited,"Magician's Force",MFC-097,80193355 
"Dream Clown",1,"Common",M,Unlimited,"Metal Raiders",MRD-080,13215230 
"Dreamsprite",3,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-073,8687195 
"Drill Bug",8,"Common",M,Unlimited,"Pharaoh's Servant",PSV-078,88733579 
"Drillroid",14,"Common",M,1st Edition,"Cybernetic Revolution",CRV-EN009,71218746 
"Driving Snow",2,"Common",M,Unlimited,"Pharaoh's Servant",PSV-018,473469 
"Drooling Lizard",6,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-115,16353197 
"Drop Off",3,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN205,55773067 
"Dummy Golem",6,"Common",M,Unlimited,"The Lost Millennium",TLM-EN016,13532663 
"Dust Barrier",6,"Common",M,Unlimited,"Ancient Sanctuary",AST-087,31476755 
"Dust Tornado",1,"Super Rare",M,Unlimited,"Pharaoh's Servant",PSV-011,60082869 
"Dweller in the Depths",8,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN028,46508640 
"E - Emergency Call",7,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN039,213326 
"Eagle Eye",7,"Common",M,Unlimited,"Rise of Destiny",RDS-EN022,53693416 
"Earth Chant",2,"Common",M,Unlimited,"Invasion of Chaos",IOC-099,59820352 
"Earth Effigy",4,"Common",M,1st Edition,"Phantom Darkness",PTDN-EN040,53461122 
"Earthbound Spirit",6,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-055,67105242 
"Earthquake",8,"Common",M,Unlimited,"Ancient Sanctuary",AST-043,82828051 
"Earthshaker",5,"Common",M,Unlimited,"Pharaoh's Servant",PSV-014,60866277 
"Ebon Magician Curran",17,"Common",M,Unlimited,"Cybernetic Revolution",CRV-EN031,46128076 
"Ekibyo Drakmord",6,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-099,69954399 
"Electric Lizard",3,"Common",M,Unlimited,"Metal Raiders",MRD-048,55875323 
"Electric Snake",4,"Common",M,Unlimited,"Magic Ruler",MRL-008,11324436 
"Electric Virus",7,"Common",M,Unlimited,"Strike of Neos",STON-EN021,24725825 
"Electro-Whip",2,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-093,37820550 
"Elegant Egotist",9,"Rare",M,Unlimited,"Metal Raiders",MRD-024,90219263 
"Element Doom",6,"Common",M,Unlimited,"Flaming Eternity",FET-EN011,23118924 
"Element Dragon",9,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN023,30314994 
"Element Magician",6,"Common",M,Unlimited,"Rise of Destiny",RDS-EN013,65260293 
"Element Saurus",8,"Common",M,Unlimited,"Rise of Destiny",RDS-EN014,92755808 
"Element Soldier",8,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN024,66712593 
"Element Valkyrie",9,"Common",M,Unlimited,"Flaming Eternity",FET-EN010,97623219 
"Elemental Absorber",3,"Rare",M,Unlimited,"Enemy of Justice",EOJ-EN056,94253609 
"Elemental Burst",6,"Common",M,Unlimited,"Flaming Eternity",FET-EN059,61411502 
"Elemental HERO Avian",9,"Common",M,Unlimited,"The Lost Millennium",TLM-EN001,21844576 
"Elemental HERO Bladedge",3,"Rare",M,Unlimited,"Duelist Pack 3: Jaden Yuki 2",DP03-EN002,59793705 
"Elemental HERO Bubbleman",4,"Rare",M,Unlimited,"Cybernetic Revolution",CRV-EN014,79979666 
"Elemental HERO Burstinatrix",10,"Common",M,Unlimited,"The Lost Millennium",TLM-EN002,58932615 
"Elemental HERO Captain Gold",1,"Rare",M,Unlimited,"Duelist Pack 6: Jaden Yuki 3",DP06-EN004,80908502 
"Elemental HERO Clayman",12,"Common",M,Unlimited,"The Lost Millennium",TLM-EN003,84327329 
"Elemental HERO Dark Neos",1,"Ultra Rare",M,Unlimited,"Power of the Duelist",POTD-EN033,28677304 
"Elemental HERO Flame Wingman",1,"Ultra Rare",M,Unlimited,"The Lost Millennium",TLM-EN035,35809262 
"Elemental HERO Flare Neos",4,"Rare",M,Unlimited,"Duelist Pack 3: Jaden Yuki 2",DP03-EN013,81566151 
"Elemental HERO Marine Neos",1,"Rare",M,Unlimited,"Tactical Evolution",TAEV-EN041,5128859 
"Elemental HERO Mariner",7,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN034,14225239 
"Elemental HERO Necroid Shaman",8,"Common",M,Unlimited,"Enemy of Justice",EOJ-EN036,81003500 
"Elemental HERO Neo Bubbleman",8,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN004,5285665 
"Elemental HERO Neos",10,"Common",M,1st Edition,"Power of the Duelist",POTD-EN001,89943723 
"Elemental HERO Neos Alius",2,"Common",M,1st Edition,"Duelist Pack 6: Jaden Yuki 3",DP06-EN005,69884162 
"Elemental HERO Phoenix Enforcer",1,"Rare",M,Unlimited,"Duelist Pack 5: Aster Phoenix",DP05-EN012,41436536 
"Elemental HERO Rampart Blaster",3,"Ultra Rare",M,1st Edition,"Elemental Energy",EEN-EN033,47737087 
"Elemental HERO Shining Flare Wingman",2,"Ultra Rare",M,Unlimited,"Elemental Energy",EEN-EN036,25366484 
"Elemental HERO Shining Phoenix Enforcer",1,"Ultra Rare",M,Unlimited,"Enemy of Justice",EOJ-EN033,88820235 
"Elemental HERO Sparkman",7,"Common",M,Unlimited,"The Lost Millennium",TLM-EN004,20721928 
"Elemental HERO Thunder Giant",2,"Rare",M,Unlimited,"Duelist Pack 1: Jaden Yuki",DP1-EN011,61204971 
"Elemental HERO Wild Wingman",3,"Super Rare",M,Unlimited,"Enemy of Justice",EOJ-EN035,55615891 
"Elemental HERO Wildedge",2,"Rare",M,Unlimited,"Duelist Pack 3: Jaden Yuki 2",DP03-EN010,10526791 
"Elemental HERO Wildheart",10,"Common",M,Unlimited,"Elemental Energy",EEN-EN008,86188410 
"Elemental Mistress Doriado",4,"Rare",M,Unlimited,"The Lost Millennium",TLM-EN034,99414168 
"Elemental Recharge",14,"Common",M,1st Edition,"Enemy of Justice",EOJ-EN050,36586443 
"Elephant Statue of Blessing",3,"Common",M,Unlimited,"Ancient Sanctuary",AST-073,85166216 
"Elephant Statue of Disaster",4,"Common",M,1st Edition,"Ancient Sanctuary",AST-074,12160911 
"Eliminating the League",2,"Rare",M,Unlimited,"Strike of Neos",STON-EN052,73872164 
"Emblem of Dragon Destroyer",2,"Common",M,Unlimited,"Magician's Force",MFC-090,6390406 
"Emblem of the Awakening",4,"Common",M,Unlimited,"Strike of Neos",STON-EN044,9845733 
"Emergency Provisions",3,"Common",M,Unlimited,"Legacy of Darkness",LOD-033,53046408 
"Emissary of the Oasis",7,"Common",M,Unlimited,"Ancient Sanctuary",AST-083,6103294 
"Empress Judge",2,"Common",M,Unlimited,"Metal Raiders",MRD-046,15237615 
"Empress Mantis",2,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-040,58818411 
"Enchanted Javelin",4,"Common",M,Unlimited,"Pharaoh's Servant",PSV-015,96355986 
"Enchanting Fitting Room",3,"Common",M,Unlimited,"Ancient Sanctuary",AST-093,30531525 
"Enchanting Mermaid",4,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-084,75376965 
"End of the World",6,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN046,8198712 
"Enemy Controller",1,"Ultra Rare",M,Unlimited,"Ancient Sanctuary",AST-037,98045062 
"Energy Drain",6,"Common",M,Unlimited,"Invasion of Chaos",IOC-055,56916805 
"Enervating Mist",5,"Rare",M,1st Edition,"Soul of the Duelist",SOD-EN053,26022485 
"Enraged Battle Ox",4,"Rare",M,Unlimited,"Invasion of Chaos",IOC-070,76909279 
"Enraged Muka Muka",8,"Common",M,1st Edition,"Soul of the Duelist",SOD-EN031,91862578 
"Equip Shot",3,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN063,62878208 
"Eria the Water Charmer",3,"Common",M,Unlimited,"The Lost Millennium",TLM-EN027,74364659 
"Eternal Rest",5,"Common",M,Unlimited,"Magic Ruler",MRL-060,95051344 
"Etoile Cyber",6,"Common",M,Unlimited,"Elemental Energy",EEN-EN016,11460577 
"Everliving Underworld Cannon",6,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN060,31467372 
"Evil HERO Dark Gaia",4,"Rare",M,1st Edition,"Gladiator's Assault",GLAS-EN040,58332301 
"Evil HERO Infernal Gainer",5,"Rare",M,Unlimited,"Gladiator's Assault",GLAS-EN004,95943058 
"Evil HERO Inferno Wing",1,"Ultra Rare",M,Unlimited,"Gladiator's Assault",GLAS-EN038,22160245 
"Evil HERO Wild Cyclone",1,"Ultra Rare",M,1st Edition,"Duelist Pack 6: Jaden Yuki 3",DP06-EN011,13293158 
"Exhausting Spell",5,"Common",M,Unlimited,"Magician's Force",MFC-098,95451366 
"Expressroid",2,"Rare",M,1st Edition,"Gladiator's Assault",GLAS-EN016,984114 
"Factory of 100 Machines",6,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN049,7030340 
"Fairy Guardian",1,"Common",M,1st Edition,"Labyrinth of Nightmare",LON-039,22419772 
"Fairy Meteor Crush",1,"Rare",M,Unlimited,"Dark Beginning 1",DB1-EN178,97687912 
"Fairy of the Spring",3,"Common",M,1st Edition,"Dark Crisis",DCR-040,20188127 
"Fairy's Hand Mirror",7,"Common",M,Unlimited,"Magic Ruler",MRL-041,17653779 
"Fake Hero",6,"Common",M,1st Edition,"Power of the Duelist",POTD-EN038,78387742 
"Fake Trap",1,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN164,3027001 
"Falling Down",3,"Common",M,Unlimited,"Dark Crisis",DCR-088,32919136 
"Familiar-Possessed - Aussa",8,"Common",M,Unlimited,"Elemental Energy",EEN-EN026,31887905 
"Familiar-Possessed - Eria",11,"Common",M,1st Edition,"Elemental Energy",EEN-EN027,68881649 
"Familiar-Possessed - Hiita",11,"Common",M,Unlimited,"Elemental Energy",EEN-EN028,4376658 
"Familiar-Possessed - Wynn",13,"Common",M,Unlimited,"Elemental Energy",EEN-EN029,31764353 
"Fatal Abacus",2,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN133,77910045 
"Fear from the Dark",1,"Rare",M,Unlimited,"Dark Revelation Volume 1",DR1-EN187,34193084 
"Feather Shot",4,"Common",M,Unlimited,"Duelist Pack 1: Jaden Yuki",DP1-EN017,19394153 
"Feather Wind",11,"Common",M,1st Edition,"Elemental Energy",EEN-EN058,71060915 
"Fengsheng Mirror",5,"Common",M,Unlimited,"Legacy of Darkness",LOD-075,37406863 
"Fenrir",6,"Common",M,Unlimited,"Invasion of Chaos",IOC-020,218704 
"Feral Imp",6,"Common",M,Unlimited,"Metal Raiders",MRD-001,41392891 
"Field Barrier",3,"Common",M,Unlimited,"Force of the Breaker",FOTB-EN042,7153114 
"Fiend Comedian",2,"Common",M,Unlimited,"Legacy of Darkness",LOD-098,81172176 
"Fiend Reflection #2",3,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-021,2863439 
"Fiend Scorpion",3,"Common",M,Unlimited,"Ancient Sanctuary",AST-059,26566878 
"Fiend Skull Dragon",1,"Rare",M,Unlimited,"Dark Beginning 2",DB2-EN154,66235877 
"Fiend's Hand Mirror",3,"Common",M,Unlimited,"Invasion of Chaos",IOC-102,58607704 
"Final Attack Orders",7,"Common",M,Unlimited,"Dark Crisis",DCR-045,52503575 
"Final Countdown",4,"Common",M,Unlimited,"Dark Crisis",DCR-091,95308449 
"Final Destiny",4,"Common",M,Unlimited,"Magic Ruler",MRL-035,18591904 
"Final Ritual of the Ancients",5,"Common",M,Unlimited,"The Lost Millennium",TLM-EN044,60369732 
"Fine",5,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN080,92595643 
"Fire Darts",8,"Rare",M,1st Edition,"Cybernetic Revolution",CRV-EN049,43061293 
"Fire Kraken",6,"Common",M,Unlimited,"Magic Ruler",MRL-014,46534755 
"Fire Princess",7,"Common",M,Unlimited,"Dark Beginning 1",DB1-EN234,64752646 
"Fire Sorcerer",2,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-036,27132350 
"Fire Trooper",1,"Common",M,Unlimited,"Phantom Darkness",PTDN-EN013,53927679 
"Firebird",6,"Common",M,1st Edition,"Flaming Eternity",FET-EN032,87473172 
"Firegrass",4,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-018,53293545 
"Firestorm Prominence",6,"Common",M,Unlimited,"Strike of Neos",STON-EN026,13846680 
"Firewall",1,"Rare",M,Unlimited,"Force of the Breaker",FOTB-EN060,94804055 
"Fireyarou",1,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-085,71407486 
"Fish Depth Charge",7,"Common",M,Unlimited,"The Duelist Genesis",TDGS-EN078,58873391 
"Fissure",5,"Rare",M,Unlimited,"Dark Beginning 1",DB1-EN117,66788016 
"Flame Cerebrus",4,"Common",M,Unlimited,"Metal Raiders",MRD-111,60862676 
"Flame Champion",5,"Common",M,Unlimited,"Pharaoh's Servant",PSV-041,42599677 
"Flame Dancer",2,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-058,12883044 
"Flame Ghost",1,"Rare",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-029,58528964 
"Flame Manipulator",4,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-016,34460851 
"Flame Ogre",3,"Common",M,1st Edition,"Cyberdark Impact",CDIP-EN014,58098303 
"Flame Ruler",6,"Common",M,Unlimited,"Flaming Eternity",FET-EN031,41089128 
"Flame Spirit Ignis",1,"Rare",M,Unlimited,"Light of Destruction",LODT-EN087,79444933 
"Flame Swordsman",7,"Common",M,Unlimited,"Retro Pack 1",RP01-EN002,45231177 
"Flash Assailant",4,"Common",M,Unlimited,"Magic Ruler",MRL-082,96890582 
"Flashbang",5,"Common",M,Unlimited,"Strike of Neos",STON-EN053,9267769 
"Flint",2,"Rare",M,Unlimited,"Rise of Destiny",RDS-EN042,75560629 
"Flint Lock",5,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN028,83812099 
"Flint Missile",5,"Common",M,Unlimited,"Tactical Evolution",TAEV-EN055,16437822 
"Flower Wolf",3,"Rare",M,1st Edition,"The Legend of Blue Eyes White Dragon",LOB-107,95952802 
"Flying Fish",2,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-007,31987274 
"Flying Kamakiri #1",17,"Rare",M,Unlimited,"Magic Ruler",MRL-091,84834865 
"Flying Kamakiri #2",4,"Common",M,Unlimited,"Pharaoh's Servant",PSV-048,3134241 
"Flying Saucer Muusik'i",6,"Common",M,Unlimited,"Power of the Duelist",POTD-EN030,97697678 
"Fog Control",2,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN051,63741331 
"Follow Wind",5,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-098,98252586 
"Foolish Revival",6,"Common",M,1st Edition,"Gladiator's Assault",GLAS-EN079,83778600 
"Forced Back",4,"Rare",M,Unlimited,"Enemy of Justice",EOJ-EN060,43340443 
"Forced Ceasefire",1,"Rare",M,Unlimited,"Flaming Eternity",FET-EN060,97806240 
"Forced Requisition",4,"Rare",M,Unlimited,"Pharaoh's Servant",PSV-025,74923978 
"Forest",2,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-046,87430998 
"Formation Union",3,"Common",M,Unlimited,"Magician's Force",MFC-049,26931058 
"Fossil Excavation",9,"Common",M,Unlimited,"Power of the Duelist",POTD-EN058,23869735 
"Fossil Tusker",1,"Rare",M,Unlimited,"Tactical Evolution",TAEV-EN086,17706537 
"Fox Fire",7,"Common",M,Unlimited,"Rise of Destiny",RDS-EN029,88753985 
"Fragrance Storm",6,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN058,69584564 
"Freezing Beast",3,"Common",M,1st Edition,"Magician's Force",MFC-017,85359414 
"Frenzied Panda",4,"Common",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-081,98818516 
"Froggy Forcefield",1,"Rare",M,Unlimited,"Light of Destruction",LODT-EN073,34351849 
"Frontier Wiseman",4,"Common",M,Unlimited,"Legacy of Darkness",LOD-022,38742075 
"Frontline Base",4,"Common",M,Unlimited,"Magician's Force",MFC-028,46181000 
"Frostosaurus",2,"Rare",M,Unlimited,"Strike of Neos",STON-EN002,6631034 
"Frozen Soul",3,"Common",M,Unlimited,"Dark Crisis",DCR-096,57069605 
"Fruits of Kozaky's Studies",5,"Common",M,1st Edition,"Rise of Destiny",RDS-EN053,49998907 
"Fuh-Rin-Ka-Zan",4,"Common",M,Unlimited,"Rise of Destiny",RDS-EN055,1781310 
"Fuhma Shuriken",2,"Rare",M,Unlimited,"Invasion of Chaos",IOC-031,9373534 
"Fulfillment of the Contract",8,"Common",M,Unlimited,"Flaming Eternity",FET-EN046,48206762 
"Full Salvo",9,"Common",M,Unlimited,"Shadow of Infinity",SOI-EN056,70865988 
"Fushi No Tori",2,"Common",M,Unlimited,"Legacy of Darkness",LOD-072,38538445 
"Fusion Devourer",1,"Rare",M,Unlimited,"Strike of Neos",STON-EN020,98336111 
"Fusion Gate",4,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-098,33550694 
"Fusion Recovery",19,"Common",M,1st Edition,"Cybernetic Revolution",CRV-EN038,18511384 
"Fusion Sage",5,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN109,26902560 
"Fusion Sword Murasame Blade",4,"Rare",M,Unlimited,"Legacy of Darkness",LOD-079,37684215 
"Fusion Weapon",8,"Common",M,Unlimited,"Soul of the Duelist",SOD-EN047,27967615 
"Future Fusion",6,"Rare",M,Unlimited,"Power of the Duelist",POTD-EN044,77565204 
"Future Samurai",1,"Rare",M,Unlimited,"Phantom Darkness",PTDN-EN027,90642597 
"Gadget Hauler",6,"Common",M,1st Edition,"Crossroads of Chaos",CSOC-EN013,28002611 
"Gadget Soldier",2,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-010,86281779 
"Gagagigo",5,"Common",M,Unlimited,"Dark Crisis",DCR-054,49003308 
"Gaia Power",14,"Common",M,Unlimited,"Magic Ruler",MRL-096,56594520 
"Gaia Soul the Combustible Collective",1,"Rare",M,Unlimited,"Rise of Destiny",RDS-EN028,51355346 
"Gaia the Dragon Champion",7,"Secret Rare",M,Unlimited,"The Legend of Blue Eyes White Dragon",LOB-125,66889139 
"Gaia The Fierce Knight",10,"Common",M,Unlimited,"Retro Pack 1",RP01-EN004,6368038 
"Gale Lizard",5,"Common",M,1st Edition,"Invasion of Chaos",IOC-008,77491079 
"Gamble",9,"Common",M,Unlimited,"Pharaoh's Servant",PSV-053,37313786 
"Gambler of Legend",5,"Common",M,Unlimited,"Gladiator's Assault",GLAS-EN031,2196767 
"Garoth, Lightsworn Warrior",4,"Common",M,Unlimited,"Light of Destruction",LODT-EN020,59019082 
"Garuda the Wind Spirit",2,"Common",M,Unlimited,"Labyrinth of Nightmare",LON-070,12800777 
"Gate Guardian",5,"Secret Rare",M,Unlimited,"Metal Raiders",MRD-000,25833572 
"Gateway to Dark World",13,"Common",M,Unlimited,"Elemental Energy",EEN-EN048,93431518 
"Gather Your Mind",7,"Common",M,Unlimited,"Magician's Force",MFC-087,7512044 
"Gazelle the King of Mythical Beasts",6,"Common",M,Unlimited,"Dark Beginning 2",DB2-EN071,5818798 
